id,age,overall_scores,potential_scores,height,weight,wage,release_clause,total_stats,international_reputation,nationality_Brazil,nationality_England,nationality_France,nationality_Germany,nationality_Other,nationality_Spain,better_position_Defense,better_position_Goalkeeper,better_position_Midfield,foot_Right,value
255486,-1.1653162563062114,-0.3208414713588332,1.934348007139869,0.3098761746230945,0.5000022090137187,-0.717696817225789,0.8002229566871202,-0.3011128514236072,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,800000
255505,0.040132832693135875,0.45472951538643686,0.028041485939387607,0.6916950668287783,-0.691536442284479,-0.008806125262512812,0.026127451183834458,0.5479002138975243,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,875000
255507,-1.1653162563062114,-2.2597689382220083,-1.6664531995721514,-0.07194271758258927,-0.09503790081451181,-0.717696817225789,-0.9294504450541105,-1.3137910859632702,-0.223770663226348,0,1,0,0,0,0,0,0,0,1,90000
255516,-0.9644080748063202,-0.5147342180451506,0.4516651573172724,0.3098761746230945,1.0950423188419494,-0.48139991990469694,-0.3471586036921944,-0.5363815321752461,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,525000
255523,-0.763499893306429,0.06694402201380184,0.4516651573172724,-0.8355805019939612,-0.09503790081451181,0.22749077205857926,0.2841592863515964,0.21034080238430333,-0.223770663226348,0,0,1,0,0,0,1,0,0,1,725000
255524,-0.5625917118065378,-0.5147342180451506,0.23985332162833,0.6916950668287783,0.9623250394439865,-0.717696817225789,-0.23190438398392743,-1.119438697516264,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,450000
255525,-1.3662244378061026,-1.871983444849373,-0.18377034974955478,-0.4537616097882731,-0.3604724596104373,-0.2451030225836049,-0.723024976919901,-1.5695179128672254,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,170000
255528,-0.763499893306429,-0.7086269647314681,0.8752888286951572,-0.4537616097882731,-0.3604724596104373,0.4637876693796713,0.11213806290642175,0.4251513369836258,-0.223770663226348,1,0,0,0,0,0,0,0,1,1,550000
255529,-1.3662244378061026,-0.12694872467251567,1.934348007139869,0.6916950668287783,-0.3604724596104373,-0.2451030225836049,1.0582547918548821,-0.41363265526134757,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,950000
255530,-1.3662244378061026,-0.7086269647314681,1.5107243357619844,-1.217399394199645,-0.691536442284479,-0.835845265886335,0.19814867462900906,0.06713377931808838,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,525000
255532,-1.3662244378061026,-1.096412458104103,0.8752888286951572,-2.362856070816701,-2.87480860996306,-0.7413265069578983,-0.4976771742067222,-0.8023374321553596,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,325000
255533,-0.763499893306429,-1.096412458104103,-0.39558218543849716,-0.07194271758258927,0.23456765021779324,-0.48139991990469694,-0.6189521367355703,-0.24996748604281616,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,250000
255537,-1.1653162563062114,-1.096412458104103,0.4516651573172724,-0.4537616097882731,-0.09503790081451181,-0.48139991990469694,-0.512298978199562,-0.4545489475659804,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,325000
255540,-0.3616835303066465,-0.5147342180451506,-0.39558218543849716,1.0735139590344664,0.6327194884116836,-0.48139991990469694,-1.0920105012098005,-0.7051612379318566,-0.223770663226348,0,0,0,1,0,0,0,0,0,0,425000
255541,-0.5625917118065378,-0.12694872467251567,0.028041485939387607,-0.07194271758258927,-1.0882298488366327,-0.48139991990469694,-0.27576979596244694,-0.3676018264186356,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,575000
255544,-1.3662244378061026,-2.0658761915356907,-1.0310176925053243,-1.217399394199645,-1.815987238062826,-0.835845265886335,-0.9672951142120488,-0.771650212926885,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,100000
255554,-1.1653162563062114,-3.035339924967278,-1.4546413638832092,0.3098761746230945,0.5000022090137187,-0.717696817225789,-0.9948185099632768,-1.6257778147860955,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,60000
